gmail.com 1 258
groksolutions.com 2 37
numenta.com 3 25
hotmail.com 4 23
numenta.org 5 16
cpsc.ucalgary.ca 6 10
Davids-iMac.local 7 10
fer.io 8 5
keithcom.com 9 4
