gmail.com 1 1417
numenta.com 2 367
numenta.org 3 280
groksolutions.com 4 173
fer.io 5 121
hotmail.com 6 96
keithcom.com 7 36
Davids-iMac.local 8 35
nupic.com 9 33
cs.stanford.edu 10 11
