1370984846 81 17 32 0 2 0 0 0 0 10 0 0 0 0 0 0 0 4 0 0
1370985192 82 17 32 0 2 0 0 0 0 10 0 0 0 0 0 0 0 4 0 0
1370985344 82 17 32 0 2 0 0 0 0 10 0 0 0 0 0 0 0 5 0 0
1370986017 83 17 32 0 2 0 0 0 0 10 0 0 0 0 0 0 0 5 0 0
1370986935 84 17 32 0 2 0 0 0 0 10 0 0 0 0 0 0 0 5 0 0
1370987244 85 17 32 0 2 0 0 0 0 10 0 0 0 0 0 0 0 5 0 0
1370987942 85 17 33 0 2 0 0 0 0 10 0 0 0 0 0 0 0 5 0 0
1370988420 85 17 33 0 2 0 0 0 0 10 0 0 0 0 0 0 0 6 0 0
1371012958 86 17 33 0 2 0 0 0 0 10 0 0 0 0 0 0 0 6 0 0
1371013033 87 17 33 0 2 0 0 0 0 10 0 0 0 0 0 0 0 6 0 0
1371013210 88 17 33 0 2 0 0 0 0 10 0 0 0 0 0 0 0 6 0 0
1371013492 88 17 33 0 2 0 0 0 0 10 0 0 0 0 0 0 0 7 0 0
1371058589 88 17 34 0 2 0 0 0 0 10 0 0 0 0 0 0 0 7 0 0
1371058836 89 17 34 0 2 0 0 0 0 10 0 0 0 0 0 0 0 7 0 0
1371059204 89 17 34 0 2 0 0 0 0 10 0 0 0 0 0 0 0 8 0 0
1371142646 89 17 35 0 2 0 0 0 0 10 0 0 0 0 0 0 0 8 0 0
1371143012 90 17 35 0 2 0 0 0 0 10 0 0 0 0 0 0 0 8 0 0
1371143463 90 17 35 0 2 0 0 0 0 10 0 0 0 0 0 0 0 9 0 0
1371245812 91 17 35 0 2 0 0 0 0 10 0 0 0 0 0 0 0 9 0 0
1371246283 92 17 35 0 2 0 0 0 0 10 0 0 0 0 0 0 0 9 0 0
1371494728 92 17 36 0 2 0 0 0 0 10 0 0 0 0 0 0 0 9 0 0
1371497681 92 20 36 0 2 0 0 0 0 10 0 0 0 0 1 0 0 9 0 0
1371498701 92 21 36 0 2 0 0 0 0 10 0 0 0 0 1 0 0 9 0 0
1371499075 92 22 36 0 2 0 0 0 0 10 0 0 0 0 1 0 0 9 0 0
1371499332 93 22 36 0 2 0 0 0 0 10 0 0 0 0 1 0 0 9 0 0
1371499399 93 22 36 0 2 0 0 0 0 10 0 0 0 0 1 0 0 10 0 0
1371499921 93 22 37 0 2 0 0 0 0 10 0 0 0 0 1 0 0 10 0 0
1371499944 93 22 37 0 2 0 0 0 0 10 0 0 0 0 1 0 0 11 0 0
1371501811 94 22 37 0 2 0 0 0 0 10 0 0 0 0 1 0 0 11 0 0
1371502505 95 22 37 0 2 0 0 0 0 10 0 0 0 0 1 0 0 11 0 0
1371502887 96 22 37 0 2 0 0 0 0 10 0 0 0 0 1 0 0 11 0 0
1371503076 97 22 37 0 2 0 0 0 0 10 0 0 0 0 1 0 0 11 0 0
1371503222 98 22 37 0 2 0 0 0 0 10 0 0 0 0 1 0 0 11 0 0
1371503257 99 22 37 0 2 0 0 0 0 10 0 0 0 0 1 0 0 11 0 0
1371503428 99 22 38 0 2 0 0 0 0 10 0 0 0 0 1 0 0 11 0 0
1371506362 99 22 38 0 2 0 0 0 0 10 0 0 0 0 2 0 0 11 0 0
1371507009 99 22 39 0 2 0 0 0 0 10 0 0 0 0 2 0 0 11 0 0
1371510017 99 22 40 0 2 0 0 0 0 10 0 0 0 0 2 0 0 11 0 0
1371510746 100 22 40 0 2 0 0 0 0 10 0 0 0 0 2 0 0 11 0 0
1371574186 100 22 40 0 2 0 0 0 0 11 0 0 0 0 2 0 0 11 0 0
1371574263 100 22 40 0 2 0 0 0 0 12 0 0 0 0 2 0 0 11 0 0
1371579047 101 22 40 0 2 0 0 0 0 12 0 0 0 0 2 0 0 11 0 0
1371580589 101 22 40 0 2 0 0 0 0 13 0 0 0 0 2 0 0 11 0 0
1371584378 101 22 40 0 2 0 0 0 0 13 0 0 0 0 2 0 0 11 0 1
1371675902 101 22 40 0 3 0 0 0 0 13 0 0 0 0 2 0 0 11 0 1
1371675959 101 22 40 0 4 0 0 0 0 13 0 0 0 0 2 0 0 11 0 1
1371678581 101 22 40 0 5 0 0 0 0 13 0 0 0 0 2 0 0 11 0 1
1371678796 101 22 40 0 6 0 0 0 0 13 0 0 0 0 2 0 0 11 0 1
1371681335 101 22 40 0 7 0 0 0 0 13 0 0 0 0 2 0 0 11 0 1
1371682288 101 22 40 0 8 0 0 0 0 13 0 0 0 0 2 0 0 11 0 1
1371873106 101 22 41 0 8 0 0 0 0 13 0 0 0 0 2 0 0 11 0 1
1371873288 102 22 41 0 8 0 0 0 0 13 0 0 0 0 2 0 0 11 0 1
1371893979 102 22 41 0 8 0 1 0 0 13 0 0 0 0 2 0 0 11 0 1
1371895585 102 22 42 0 8 0 1 0 0 13 0 0 0 0 2 0 0 11 0 1
1371895603 102 22 43 0 8 0 1 0 0 13 0 0 0 0 2 0 0 11 0 1
1371895694 102 22 43 0 8 0 2 0 0 13 0 0 0 0 2 0 0 11 0 1
1371896513 102 22 44 0 8 0 2 0 0 13 0 0 0 0 2 0 0 11 0 1
1371897157 102 22 44 0 8 0 3 0 0 13 0 0 0 0 2 0 0 11 0 1
1371897341 102 22 44 0 8 0 4 0 0 13 0 0 0 0 2 0 0 11 0 1
1371897985 103 22 44 0 8 0 4 0 0 13 0 0 0 0 2 0 0 11 0 1
1371898010 104 22 44 0 8 0 4 0 0 13 0 0 0 0 2 0 0 11 0 1
1371928941 104 22 44 0 8 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1371929799 104 22 45 0 8 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1371932250 104 22 45 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1371932534 105 22 46 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1371936556 105 22 47 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1371944155 105 23 47 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1371945111 105 24 47 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1371950942 105 24 48 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1372091833 105 24 49 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1372095626 105 24 50 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1372097731 105 24 51 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1372110978 105 24 52 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1372113451 105 24 53 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1372116119 105 24 54 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1372181797 105 24 54 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1372181960 105 24 55 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1372186999 105 24 56 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1372187362 105 24 57 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1372189189 105 24 58 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1372261718 105 24 59 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1372264102 105 24 60 0 9 0 5 0 0 13 0 0 0 0 2 0 0 11 0 1
1372265678 105 24 60 0 9 0 5 0 0 14 0 0 0 0 2 0 0 11 0 1
1372268456 106 24 60 0 9 0 5 0 0 14 0 0 0 0 2 0 0 11 0 1
1372268591 106 24 60 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 1
1372269219 106 24 60 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
1372283106 106 36 61 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
1372367621 106 37 61 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
1372367726 106 38 62 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
1372368924 106 39 62 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
1372370415 106 39 63 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
1372371231 107 39 63 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
1372371341 107 40 63 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
1372372317 107 40 64 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
1372372418 107 41 64 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
1372373464 107 41 65 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
1372374927 107 41 66 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
1372386914 107 41 67 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
1372387127 107 41 68 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
1372388593 107 41 69 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
1372438192 107 41 70 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
1372442842 107 41 71 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
1372453949 107 41 72 0 9 0 5 0 0 15 0 0 0 0 2 0 0 11 0 2
